Id,,Type,from ,to,passable,Text Description
0,,Open,1,0,1,swim deck Open to Shore
1,,Open,1,2,1,swim deck Open to cockpit
2,,Open,1,22,1,swim deck Open to helm port
3,,Open,1,23,1,swim deck Open to helm stb
4,,Open,2,22,1,cockpit Open to helm port
5,,Open,2,23,1,cockpit Open to helm stb
6,,Open,2,97,0,cockpit Open to under dodger port
7,,Open,2,98,0,cockpit Open to under dodger stb
8,,Open,2,100,0,cockpit Open to Console table top
9,,Hatch,2,144,0,cockpit Hatch to Lower deck landing
10,,Open,4,2,1,top deck stb aft Open to cockpit
11,,Open,17,2,1,top deck aft port Open to cockpit
12,,Open,4,23,1,top deck stb aft Open to helm stb
13,,Open,17,22,1,top deck aft port Open to helm port
14,,Hatch,3,2,1,upper companionway Hatch to cockpit
15,,Open,3,5,1,upper companionway Open to lower companionway
16,,Open,5,123,1,lower companionway Open to Lower deck landing
17,,Floor cover,123,28,0,Lower deck landing Floor cover to Landing port floor locker
18,,Floor cover,123,29,0,Lower deck landing Floor cover to Landing stb floor locker
19,,Hatch,123,27,0,Lower deck landing Hatch to Engine Compartment
20,,Open,6,123,1,saloon Open to Lower deck landing
21,,Doorway,6,10,1,saloon Doorway to corridor
22,,Doorway,123,8,1,Lower deck landing Doorway to port aft cabin
23,,Doorway,123,9,1,Lower deck landing Doorway to stb aft cabin
24,,Open,6,7,1,saloon Open to galley
25,,Doorway,10,13,1,corridor Doorway to fwd shower
26,,Doorway,10,11,1,corridor Doorway to port fwd cabin
27,,Doorway,10,12,1,corridor Doorway to stb fwd cabin
28,,Doorway,10,14,1,corridor Doorway to fwd heads
29,,Floor cover,10,124,0,corridor Floor cover to corridor port floor locker
30,,Floor cover,10,125,0,corridor Floor cover to corridor stb floor locker
31,,Hatch,2,24,0,cockpit Hatch to cockpit seat locker stb
32,,Hatch,2,25,0,cockpit Hatch to cockpit seat locker port
33,,Hatch,22,26,0,helm port Hatch to gas locker
34,,Floor cover,22,126,0,helm port Floor cover to water refill locker
35,,Floor cover,23,127,0,helm stb Floor cover to diesel refill locker
36,,Open,4,18,1,top deck stb aft Open to top deck amidships
37,,Open,17,18,1,top deck aft port Open to top deck amidships
38,,Open,18,19,1,top deck amidships Open to foredeck
39,,Open,19,20,1,foredeck Open to pullpit
40,,Hatch,19,118,1,foredeck Hatch to Sail locker
41,,Hatch,2,21,0,cockpit Hatch to floor lazarette
42,,Hatch,22,21,0,helm port Hatch to floor lazarette
43,,Hatch,23,21,0,helm stb Hatch to floor lazarette
44,,Cupboard,123,30,0,Lower deck landing Cupboard to Landing cupboard
45,,Open,123,31,0,Lower deck landing Open to Landing top shelf
46,,Open,123,32,0,Lower deck landing Open to Landing mid shelf
47,,Doorway,7,33,0,galley Doorway to Fridge
48,,Hatch,7,34,0,galley Hatch to Coolbox
49,,Doorway,8,16,1,port aft cabin Doorway to port aft heads
50,,Doorway,9,15,1,stb aft cabin Doorway to stb aft heads
51,,Open,7,45,0,galley Open to shelf
52,,Open,7,46,0,galley Open to console shelf
53,,Doorway,7,47,0,galley Doorway to console lower cupboard
54,,Doorway,7,48,0,galley Doorway to console lower cupboard fwd
55,,Doorway,7,49,0,galley Doorway to console lower cupboard aft
56,,Floor cover,7,50,0,galley Floor cover to floor locker 1 (aft)
57,,Floor cover,7,51,0,galley Floor cover to floor locker 2
58,,Floor cover,7,52,0,galley Floor cover to floor locker 3
59,,Floor cover,7,53,0,galley Floor cover to floor locker 4 (fwd)
60,,Floor cover,6,54,0,saloon Floor cover to keel floor locker 1
61,,Floor cover,6,55,0,saloon Floor cover to keel floor locker 2
62,,Floor cover,6,56,0,saloon Floor cover to keel floor locker 3
63,,Floor cover,6,57,0,saloon Floor cover to outboard floor locker 1
64,,Floor cover,6,58,0,saloon Floor cover to outboard floor locker 2
65,,Floor cover,6,59,0,saloon Floor cover to outboard floor locker 3
66,,Hatch,6,60,0,saloon Hatch to table locker aft
67,,Hatch,6,61,0,saloon Hatch to table locker fwd
