ID,Type,Name,Region,Region name,Usage,,,
0,,Shore,0,Shore,,,,
1,,swim deck,2,Cockpit,,,,
2,,cockpit,2,Cockpit,,,,
3,,upper companionway,3,Lower Deck entry,,,,
4,,top deck stb aft,1,Top deck,,,,
5,,lower companionway,3,Lower Deck entry,,,,
6,,saloon,5,Saloon,,,,
7,,galley,4,Galley,,,,
8,,port aft cabin,7,Aft accommodation,,,,
9,,stb aft cabin,7,Aft accommodation,,,,
10,,corridor,6,Fwd accommodation,,,,
11,,port fwd cabin,6,Fwd accommodation,,,,
12,,stb fwd cabin,6,Fwd accommodation,,,,
13,,fwd shower,6,Fwd accommodation,,,,
14,,fwd heads,6,Fwd accommodation,,,,
15,,stb aft heads,7,Aft accommodation,,,,
16,,port aft heads,7,Aft accommodation,,,,
17,,top deck aft port,1,Top deck,,,,
18,,top deck amidships,1,Top deck,,,,
19,,foredeck,1,Top deck,,,,
20,,pullpit,1,Top deck,,,,
21,,floor lazarette,1,Top deck,Large under floor locker at stern of cockpit,,,
22,,helm port,2,Cockpit,,,,
23,,helm stb,2,Cockpit,,,,
24,,cockpit seat locker stb,2,Cockpit,,,,
25,,cockpit seat locker port,2,Cockpit,,,,
26,,gas locker,2,Cockpit,,,,
27,,Engine Compartment,8,Engine space,,,,
28,,Landing port floor locker,3,Lower Deck entry,,,,
29,,Landing stb floor locker,3,Lower Deck entry,,,,
30,,Landing cupboard,3,Lower Deck entry,,,,2.4
31,,Landing top shelf,3,Lower Deck entry,Where keys are kept,,,1.6
32,,Landing mid shelf,3,Lower Deck entry,Glass cover,,,
33,,Fridge,4,Galley,,,,
34,,Coolbox,4,Galley,,,,
35,,Galley top draw,4,Galley,Cutlery draw,,,
36,,Galley mid drawer,4,Galley,Pots and pans,,,
37,,Under stove cupboard,4,Galley,Serving plates and cutting boards,,,
38,,Under sink aft,4,Galley,,,,
39,,Under sink fwd,4,Galley,Rubbish bin,,,
40,,Galley overhead cupboard 1 (aft),4,Galley,,,,
41,,Galley overhead cupboard 2,4,Galley,,,,
42,,Galley overhead cupboard 3,4,Galley,,,,
43,,Galley overhead cupboard 4 (fwd),4,Galley,,,,
44,,Oven,4,Galley,,,,
45,,shelf,4,Galley,,,,
46,,console shelf,4,Galley,,,,
47,,console lower cupboard,4,Galley,,,,
48,,console lower cupboard fwd,4,Galley,,,,
49,,console lower cupboard aft,4,Galley,,,,
50,,floor locker 1 (aft),4,Galley,,,,
51,,floor locker 2,4,Galley,,,,
52,,floor locker 3,4,Galley,,,,
53,,floor locker 4 (fwd),4,Galley,,,,
54,,keel floor locker 1,5,Saloon,,,,
55,,keel floor locker 2,5,Saloon,,,,
56,,keel floor locker 3,5,Saloon,,,,
57,,outboard floor locker 1,5,Saloon,,,,
58,,outboard floor locker 2,5,Saloon,,,,
59,,outboard floor locker 3,5,Saloon,,,,
60,,table locker aft,5,Saloon,,,,
61,,table locker fwd,5,Saloon,,,,
62,,seat locker fwd inboard,5,Saloon,,,,
63,,seat locker fwd outboard,5,Saloon,,,,
64,,seat locker aft,5,Saloon,,,,
65,,seat locker middle,5,Saloon,,,,
66,,backrest locker 1,5,Saloon,,,,
67,,backrest locker 2,5,Saloon,,,,
68,,backrest locker 3,5,Saloon,,,,
