ID	Type	Name	Region	Region name
0		Shore	0	Shore
1		Swim deck	12	Transom
2		Life Raft Locker	12	Transom
3		Transom Companionway	12	Transom
4		Cockpit	2	Cockpit
5		Port Lazarette	16	Port Lazarette
6		Stb Lazarette	17	Stb Lazarette
7		Port Helm	2	Cockpit
8		Stb Helm	2	Cockpit
9		Gas Locker	2	Cockpit
10		Cockpit port seat locker	2	Cockpit
11		Cockpit stb seat locker	2	Cockpit
12		Cockpit centre console	2	Cockpit
13		Cockpit console locker	2	Cockpit
14		port top deck aft	1	Top deck
15		stb top deck aft	1	Top deck
16		port coachhouse	1	Top deck
17		stb coachhouse	1	Top deck
18		top deck amidships	1	Top deck
19		foredeck	1	Top deck
20		pullpit	1	Top deck
21		sail locker	11	Sail Locker
22		upper companionway	2	Cockpit
23		lower companionway	5	Saloon
24		lower landing	5	Saloon
25		Galley	4	Galley
26		Aft heads	15	Aft heads
27		Port cabin	7	Port cabin
28		Starboard cabin	14	Starboard cabin
29		Nav station	9	Nav Station
30		Setee	5	Saloon
31		Master cabin	6	Master suite
32		Fwd heads	6	Master suite
33		Rudder post	2	Cockpit
34		Manual bilge pump	2	Cockpit
35		Seawater wash fitting	2	Cockpit
36		Dodger port pocket	2	Cockpit
37		Dodger stb pocket	2	Cockpit
38		Engine compartment	8	Engine space
39		Companionway shelf	4	Galley
40		Saloon Table	5	Saloon
41		Wardrobe	14	Starboard cabin
42		Wardrobe top self	14	Starboard cabin
43		Outboard shelf	14	Starboard cabin
44		Outboard shelf locker fwd	14	Starboard cabin
45		Outboard shelf locker aft	14	Starboard cabin
46		Bunkhead shelf	14	Starboard cabin
47		Inboard storage bay	14	Starboard cabin
48		Under bunk locker aft	14	Starboard cabin
49		Under bunk locker fwd	14	Starboard cabin
50		Shoe locker	14	Starboard cabin
51		Floor locker fwd	14	Starboard cabin
52		Floor locker aft	14	Starboard cabin
53		Inboard shelf	14	Starboard cabin
54		Wardrobe	7	Port cabin
55		Wardrobe top self	7	Port cabin
56		Outboard shelf	7	Port cabin
57		Outboard shelf locker fwd	7	Port cabin
58		Outboard shelf locker aft	7	Port cabin
59		Bunkhead shelf	7	Port cabin
60		Inboard storage bay	7	Port cabin
61		Under bunk locker aft	7	Port cabin
62		Under bunk locker fwd	7	Port cabin
63		Shoe locker	7	Port cabin
64		Floor locker	7	Port cabin
65		Inboard shelf	7	Port cabin
66		Floor locker aft	5	Saloon
67		Floor locker middle	5	Saloon
68		Floor locker fwd	5	Saloon
69		Master switch cabinet	9	Nav Station
70		Under seat locker	9	Nav Station
71		Under table Drawer	9	Nav Station
72		Under lower cabinet	9	Nav Station
73		Top shelf	9	Nav Station
74		Lower shelf	9	Nav Station
75		Large under desktop cabinet	9	Nav Station
76		Inboard under desktop cabinet	9	Nav Station
77		Outboard under desktop cabinet	9	Nav Station
78		12 switch cabinet	9	Nav Station
79		Communications cabinet	9	Nav Station
80		Raymarine display cabinet	9	Nav Station
81		Top shelf	13	Settee
82		Under seat locker fwd	13	Settee
83		Under seat locker aft	13	Settee
84		Settee outboard shelf	13	Settee
85		Settee fwd shelf	13	Settee
86		Cabinet fwd	13	Settee
87		Cabinet aft	13	Settee
88		Bookshelf	13	Settee
89		Backrest locker fwd	13	Settee
90		Backrest locker aft	13	Settee
91		Shelf fwd	13	Settee
92		Shelf outboard	13	Settee
93		Top shelf	5	Saloon
94		Book shelf	5	Saloon
95		Cabinet fwd	5	Saloon
96		Cabinet 2nd from front	5	Saloon
97		Cabinet 3rd from front	5	Saloon
98		Cabinet 4th from front	5	Saloon
99		Outboard Shelf locker	5	Saloon
100		Outboard backrest locker fwd	5	Saloon
101		Outboard backrest locker mid	5	Saloon
102		Outboard backrest locker aft	5	Saloon
103		Fwd shelf locker outboard	5	Saloon
104		Fwd shelf locker inboard	5	Saloon
105		Central seat locker	5	Saloon
106		Outboard seat locker fwd	5	Saloon
107		Outboard seat locker aft	5	Saloon
108		Inboard Seat locker fwd	5	Saloon
109		Inboard Seat locker aft	5	Saloon
110		Sink top	4	Galley
111		Under sink cupboard aft	4	Galley
112		Under sink cupboard fwd	4	Galley
